PseudoB,PseudoO,Functional,Software,Method,CID,MID,SID
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-1,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-2,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-3,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-4,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-5,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-6,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-7,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-8,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-9,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-10,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-11,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-12,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-13,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-14,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-15,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-16,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-17,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-18,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-19,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-20,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-21,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-22,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-23,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-24,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-25,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-26,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-27,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-28,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-29,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-30,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-31,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-32,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-33,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-34,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-35,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-36,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-37,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-38,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-39,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-40,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-41,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-42,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-43,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-44,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-45,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-46,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-47,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-48,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-49,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-50,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-51,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-52,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-53,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-54,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-55,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-56,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-57,1,1
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-58,1,3
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-59,1,1
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-60,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-61,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-62,1,3
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-63,1,3
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-64,1,1
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-65,1,1
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-66,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-67,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-68,1,1
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-69,1,1
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-70,1,3
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-71,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-72,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-73,1,2
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-74,1,3
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-75,1,3
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-76,1,3
PAW-Ti,PAW-O,AM05,VASP,E,ITEOO-77,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-78,1,4
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-79,1,3
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-80,1,3
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-81,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-82,1,4
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-83,1,2
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-84,1,4
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-85,1,4
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-86,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-87,1,4
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-88,1,3
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-89,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-90,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-91,1,2
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-92,1,2
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-93,1,2
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-94,1,4
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-95,1,2
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-96,1,3
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-97,1,2
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-98,1,4
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-99,1,3
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-100,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-101,1,2
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-102,1,3
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-103,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-104,1,1
PAW-Ti,PAW-O,LDA,VASP,E,ITEOO-105,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-106,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-107,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-108,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-109,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-110,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-111,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-112,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-113,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-114,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-115,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-116,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-117,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-118,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-119,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-120,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-121,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-122,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-123,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-124,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-125,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-126,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-127,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-128,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-129,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-130,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-131,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-132,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-133,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-134,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-135,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-136,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-137,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-138,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-139,1,4
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-140,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-141,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-142,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-143,1,3
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-144,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,E,ITEOO-145,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-146,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-147,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-148,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-149,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-150,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-151,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-152,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-153,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-154,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-155,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-156,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-157,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-158,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-159,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-160,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-161,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-162,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-163,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-164,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-165,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-166,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-167,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-168,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-169,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-170,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-171,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-172,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-173,1,2
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-174,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-175,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-176,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-177,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-178,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-179,1,4
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-180,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-181,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-182,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-183,1,1
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-184,1,3
PAW-Ti-pv,PAW-O-s,PBE,VASP,E,ITEOO-185,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-186,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-187,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-188,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-189,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-190,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-191,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-192,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-193,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-194,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-195,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-196,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-197,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-198,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-199,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-200,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-201,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-202,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-203,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-204,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-205,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-206,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-207,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-208,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-209,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-210,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-211,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-212,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-213,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-214,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-215,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-216,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-217,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-218,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-219,1,3
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-220,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-221,1,4
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-222,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-223,1,2
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-224,1,1
PAW-Ti-sv,PAW-O-s,PBE,VASP,E,ITEOO-225,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-226,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-227,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-228,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-229,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-230,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-231,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-232,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-233,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-234,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-235,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-236,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-237,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-238,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-239,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-240,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-241,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-242,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-243,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-244,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-245,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-246,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-247,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-248,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-249,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-250,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-251,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-252,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-253,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-254,1,4
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-255,1,3
PAW-Ti-sv,PAW-O,PBE,VASP,E,ITEOO-256,1,4
